listID,memberNumber,playerRating,tournamentName,tournamentDate
1,1,1,France,4/17/2018
2,2,2,Paraguay,11/13/2018
3,3,3,China,11/4/2018
4,4,4,Indonesia,8/29/2018
5,5,5,Poland,10/12/2018
6,6,6,Guinea-Bissau,2/10/2018
7,7,7,Portugal,8/21/2018
8,8,8,Brazil,11/15/2018
9,9,9,Mexico,10/7/2018
10,10,10,China,11/12/2018
11,11,11,China,8/15/2018
12,12,12,Vietnam,3/14/2018
13,13,13,Czech Republic,12/31/2017
14,14,14,Philippines,4/9/2018
15,15,15,Vietnam,1/30/2018
16,16,16,China,10/18/2018
17,17,17,Norway,10/28/2018
18,18,18,China,10/21/2018
19,19,19,China,10/25/2018
20,20,20,Slovenia,1/16/2018
21,21,21,China,11/26/2018
22,22,22,China,7/25/2018
23,23,23,Macedonia,3/15/2018
24,24,24,Russia,3/12/2018
25,25,25,Brazil,10/19/2018
26,26,26,Peru,11/9/2018
27,27,27,Indonesia,7/5/2018
28,28,28,Philippines,8/22/2018
29,29,29,Philippines,7/2/2018
30,30,30,China,6/7/2018
31,31,31,Ukraine,12/25/2017
32,32,32,Cuba,6/3/2018
33,33,33,Argentina,12/31/2017
34,34,34,Bulgaria,10/19/2018
35,35,35,Greece,2/17/2018
36,36,36,Poland,10/25/2018
37,37,37,Portugal,6/21/2018
38,38,38,Russia,6/8/2018
39,39,39,Vietnam,5/4/2018
40,40,40,China,10/17/2018
41,41,41,China,1/23/2018
42,42,42,Indonesia,7/7/2018
43,43,43,Sweden,2/10/2018
44,44,44,Portugal,3/16/2018
45,45,45,Tanzania,7/29/2018
46,46,46,Philippines,10/14/2018
47,47,47,Bangladesh,3/11/2018
48,48,48,China,9/16/2018
49,49,49,Thailand,4/21/2018
50,50,50,Japan,10/3/2018
